	CDKN2A	ACTN4
0	CDKN2A	CCND1
1	CDKN2A	HIF1A
2	CDKN2A	VHL
3	CDKN2A	FN1
4	EPO	GATA3
5	EPO	HNF4A
6	ERBB2	STAT3
7	ERBB2	DOK4
8	ERBB2	CTNNB1
9	ERBB2	CD44
10	ERBB2	ERBB3
11	ERBB2	TGFA
12	ERBB3	AKT1
13	HIF1A	RBX1
14	HIF1A	FN1
15	HIF1A	WWOX
16	HIF1A	EPAS1
17	HIF1A	CTNNB1
18	HIF1A	VHL
19	HIF1A	PTEN
20	HIF1A	MAPK3
21	HIF1A	STAT3
22	HIF1A	AR
23	WWOX	PATZ1
24	WWOX	ANXA2
25	AVPR2	MAPK3
26	PATZ1	AR
27	INSR	DOK4
28	INSR	PRKCE
29	INSR	MAPK3
30	ACTN4	CTNNB1
31	ACTN4	FN1
32	ACTN4	VDR
33	ACTN4	VCAM1
34	ACTN4	ALDOA
35	ACTN4	KPNA2
36	CCND1	AR
37	CCND1	RBX1
38	CCND1	STAT3
39	CCND1	CTNNB1
40	JADE1	CTNNB1
41	JADE1	AKT1
42	JADE1	VHL
43	PTEN	PIK3CB
44	PTEN	AKT1
45	PTEN	STK11
46	PTEN	AR
47	PTEN	ANXA2
48	PTEN	CTNNB1
49	PTEN	BAP1
50	TICAM2	PRKCE
51	HNF4A	AR
52	HNF4A	VDR
53	HNF4A	CTNNB1
54	HNF4A	MAPK3
55	NDRG2	AKT1
56	STAT3	PRKCE
57	STAT3	MTOR
58	STAT3	DNMT1
59	STAT3	AR
60	STAT3	MAPK3
61	STAT3	CD44
62	MAP3K5	AKT1
63	ABCB1	PRKCE
64	PIK3CB	PRKCE
65	PIK3CB	AKT1
66	AHR	RBX1
67	AHR	AR
68	AHR	CTNNB1
69	AKT1	MUL1
70	AKT1	AR
71	AKT1	DNMT1
72	AKT1	APLP2
73	AKT1	ALDOA
74	AKT1	MTOR
75	AKT1	CTNNB1
76	AKT1	VIM
77	MMP9	FN1
78	MMP9	TGFB1
79	MMP9	CD44
80	ALDOA	SOD2
81	ALDOA	VCAM1
82	ALDOA	FN1
83	CXCL12	FN1
84	VCAM1	ANXA2
85	VCAM1	VIM
86	VCAM1	KPNA2
87	DNMT1	DNMT3A
88	RBX1	VHL
89	RBX1	CTNNB1
90	DNMT3A	TFAP2A
91	VDR	MAPK3
92	KPNA2	FN1
93	VHL	RNF139
94	VHL	ANXA2
95	VHL	CD44
96	VHL	CTNNB1
97	VHL	SOD2
98	VHL	TFAP2A
99	VHL	EPAS1
100	VHL	FN1
101	VHL	AR
102	VIM	FN1
103	VIM	ANXA2
104	VIM	PRKCE
105	ANGPT2	TEK
106	FN1	CRP
107	FN1	ANXA2
108	FN1	TGFB1
109	FN1	CD44
110	ANXA2	PRKCE
111	APLP2	PRKCE
112	PTPRU	CTNNB1
113	TEK	MAPK3
114	TEK	DOK4
115	TFAP2A	CTNNB1
116	TFAP2A	SOD2
117	TFAP2A	EPAS1
118	AR	MAPK3
119	AR	CTNNB1
120	CRP	MAPK3
121	TRIM33	EPAS1
122	TRIM33	CTNNB1
123	MTOR	CD274
124	EPHA2	CTNNB1
125	CD44	PRKCE
126	PRKCE	MAPK3
127	CTNNB1	EPAS1
128	CDKN2A	ACTN4
